antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'他', '那', '正末'})",frozenset({'唱'}),0.0012745572012481871,0.09671252142574606,0.0012086318287698327,0.9482758620689655,9.805099154580855,1.0,0.0010853661881357784,17.463557919102247,0.8991582787921459,0.012488646684831971,0.942737899995386,0.4803865109026945
"frozenset({'你', '正末', '可'})",frozenset({'唱'}),0.0016920845602777655,0.09671252142574606,0.0016041840636399597,0.9480519480519481,9.80278390094341,1.0,0.0014405382993499221,17.38828396255442,0.899510209669341,0.016572077185017027,0.9424900121165783,0.48231954366923696
"frozenset({'的', '正末', '则'})",frozenset({'唱'}),0.0012525820770887355,0.09671252142574606,0.001186656704610381,0.9473684210526316,9.795716284576471,1.0,0.0010655163336424313,17.162462092910843,0.8990406829633216,0.012261580381471389,0.9417333017496912,0.4798191798514692
"frozenset({'云', '正末', '王'})","frozenset({'唱', '府尹'})",0.00041752735902957853,0.000395552234870127,0.000395552234870127,0.9473684210526315,2395.0526315789475,1.0,0.00039538708099014344,18.992484507537448,1.0,0.9473684210526315,0.9473475942758761,0.9736842105263157
"frozenset({'府尹', '正末'})","frozenset({'唱', '云', '王'})",0.00041752735902957853,0.000395552234870127,0.000395552234870127,0.9473684210526315,2395.0526315789475,1.0,0.00039538708099014344,18.992484507537448,1.0,0.9473684210526315,0.9473475942758761,0.9736842105263157
"frozenset({'金', '云'})",frozenset({'御史'}),0.00041752735902957853,0.0004614776073484815,0.000395552234870127,0.9473684210526315,2052.902255639098,1.0,0.0003953595553434795,18.991231925460358,0.9999303830398428,0.818181818181818,0.9473441215438287,0.9022556390977443
"frozenset({'府尹', '正末', '云'})","frozenset({'唱', '王'})",0.00041752735902957853,0.0008570298422186086,0.000395552234870127,0.9473684210526315,1105.408906882591,1.0,0.00039519440146349594,18.983716432997827,0.9995126812789001,0.44999999999999996,0.9473232755277685,0.7044534412955465
"frozenset({'府尹', '正末'})","frozenset({'唱', '王'})",0.00041752735902957853,0.0008570298422186086,0.000395552234870127,0.9473684210526315,1105.408906882591,1.0,0.00039519440146349594,18.983716432997827,0.9995126812789001,0.44999999999999996,0.9473232755277685,0.7044534412955465
"frozenset({'御史', '云'})",frozenset({'金'}),0.00041752735902957853,0.0020436865468289895,0.000395552234870127,0.9473684210526315,463.5585738539898,1.0,0.00039469893982354523,18.96116995561023,0.9982595759960722,0.19148936170212766,0.9472606383286956,0.5704584040747028
"frozenset({'府尹', '正末', '王'})","frozenset({'唱', '云'})",0.00041752735902957853,0.020876367951478927,0.000395552234870127,0.9473684210526315,45.37994459833794,1.0,0.0003868357800932163,18.60334900892188,0.9783723310445231,0.01892744479495268,0.9462462377327644,0.48315789473684206
